Date,Prices,,,,,,,,,,,,,
15-10-2015,4000,,,,,,,,,,,,,
16-10-2015,4000,,,,,,,,,,,,,
17-10-2015,4000,,,,,,,,,,,,,
18-10-2015,4000,,,,,,,,,,,,,
19-10-2015,4000,,,,,,,,,,,,,
20-10-2015,4000,,,,,,,,,,,,,
21-10-2015,4000,,,,,,,,,,,,,
22-10-2015,4000,,,,,,,,,,,,,
23-10-2015,4000,,,,,,,,,,,,,
24-10-2015,4000,,,,,,,,,,,,,
25-10-2015,4000,,,,,,,,,,,,,
26-10-2015,4000,,,,,,,,,,,,,
27-10-2015,4000,,,,,,,,,,,,,
28-10-2015,4000,,,,,,,,,,,,,
29-10-2015,4000,,,,,,,,,,,,,
30-10-2015,3800,,,,,,,,,,,,,
31-10-2015,3890,,,,,,,,,,,,,
01-11-2015,3870,,,,,,,,,,,,,
02-11-2015,3800,,,,,,,,,,,,,
03-11-2015,3830,,,,,,,,,,,,,
04-11-2015,3800,,,,,,,,,,,,,
05-11-2015,3850,,,,,,,,,,,,,
06-11-2015,3855,,,,,,,,,,,,,
07-11-2015,3800,,,,,,,,,,,,,
08-11-2015,3830,,,,,,,,,,,,,
09-11-2015,3820,,,,,,,,,,,,,
10-11-2015,3700,,,,,,,,,,,,,
11-11-2015,3800,,,,,,,,,,,,,
12-11-2015,3790,,,,,,,,,,,,,
13-11-2015,3860,,,,,,,,,,,,,
14-11-2015,3850,,,,,,,,,,,,,
15-11-2015,3800,,,,,,,,,,,,,
16-11-2015,3800,,,,,,,,,,,,,
17-11-2015,3800,,,,,,,,,,,,,
18-11-2015,3800,,,,,,,,,,,,,
19-11-2015,3800,,,,,,,,,,,,,
20-11-2015,3800,,,,,,,,,,,,,
21-11-2015,3750,,,,,,,,,,,,,
22-11-2015,3750,,,,,,,,,,,,,
23-11-2015,3775,,,,,,,,,,,,,
24-11-2015,3750,,,,,,,,,,,,,
25-11-2015,3760,,,,,,,,,,,,,
26-11-2015,3750,,,,,,,,,,,,,
27-11-2015,3760,,,,,,,,,,,,,
28-11-2015,3750,,,,,,,,,,,,,
29-11-2015,3780,,,,,,,,,,,,,
30-11-2015,3750,,,,,,,,,,,,,
